query,gold_doc_id,rank,retrieved_doc_id,score,is_gold,retrieved_abstract
How does federated averaging combine client models?,fedavg,1,fedavg,0.4572,True,Federated Averaging trains local models on client data and averages their weight updates on a central server.
How does federated averaging combine client models?,fedavg,2,differential_privacy_fl,0.1422,False,Differential privacy in federated learning clips and noises client updates to reduce leakage from model gradients.
How does federated averaging combine client models?,fedavg,3,secure_aggregation,0.0768,False,Secure aggregation protects individual client updates so the server can see only the aggregated model update.
How does federated averaging combine client models?,fedavg,4,fedprox,0.0632,False,FedProx adds a proximal term to stabilize federated learning when clients have non-IID data and different computation budgets.
How does federated averaging combine client models?,fedavg,5,macro_f1,0.0,False,"Macro F1 averages F1 scores across classes equally, making it useful when class balance matters."
Which federated method helps with non-IID clients?,fedprox,1,fedprox,0.388,True,FedProx adds a proximal term to stabilize federated learning when clients have non-IID data and different computation budgets.
Which federated method helps with non-IID clients?,fedprox,2,bm25,0.0834,False,"BM25 is a sparse lexical retrieval method based on term frequency, inverse document frequency, and document length."
Which federated method helps with non-IID clients?,fedprox,3,differential_privacy_fl,0.0621,False,Differential privacy in federated learning clips and noises client updates to reduce leakage from model gradients.
Which federated method helps with non-IID clients?,fedprox,4,fedavg,0.0613,False,Federated Averaging trains local models on client data and averages their weight updates on a central server.
Which federated method helps with non-IID clients?,fedprox,5,early_stopping,0.0,False,Early stopping halts training when validation performance stops improving to reduce overfitting.
How can a server aggregate updates without seeing each client update?,secure_aggregation,1,secure_aggregation,0.4256,True,Secure aggregation protects individual client updates so the server can see only the aggregated model update.
How can a server aggregate updates without seeing each client update?,secure_aggregation,2,fedavg,0.264,False,Federated Averaging trains local models on client data and averages their weight updates on a central server.
How can a server aggregate updates without seeing each client update?,secure_aggregation,3,differential_privacy_fl,0.1674,False,Differential privacy in federated learning clips and noises client updates to reduce leakage from model gradients.
How can a server aggregate updates without seeing each client update?,secure_aggregation,4,early_stopping,0.0,False,Early stopping halts training when validation performance stops improving to reduce overfitting.
How can a server aggregate updates without seeing each client update?,secure_aggregation,5,macro_f1,0.0,False,"Macro F1 averages F1 scores across classes equally, making it useful when class balance matters."
What privacy method adds noise to client gradients?,differential_privacy_fl,1,differential_privacy_fl,0.2748,True,Differential privacy in federated learning clips and noises client updates to reduce leakage from model gradients.
What privacy method adds noise to client gradients?,differential_privacy_fl,2,bm25,0.0919,False,"BM25 is a sparse lexical retrieval method based on term frequency, inverse document frequency, and document length."
What privacy method adds noise to client gradients?,differential_privacy_fl,3,fedprox,0.0917,False,FedProx adds a proximal term to stabilize federated learning when clients have non-IID data and different computation budgets.
What privacy method adds noise to client gradients?,differential_privacy_fl,4,secure_aggregation,0.074,False,Secure aggregation protects individual client updates so the server can see only the aggregated model update.
What privacy method adds noise to client gradients?,differential_privacy_fl,5,fedavg,0.0675,False,Federated Averaging trains local models on client data and averages their weight updates on a central server.
Why deploy inference near sensors?,edge_ai_latency,1,edge_ai_latency,0.4275,True,"Edge AI runs inference near sensors to reduce network latency, bandwidth usage, and dependence on cloud connectivity."
Why deploy inference near sensors?,edge_ai_latency,2,model_quantization,0.0793,False,Model quantization stores weights and activations with fewer bits to reduce memory use and speed up inference.
Why deploy inference near sensors?,edge_ai_latency,3,early_stopping,0.0,False,Early stopping halts training when validation performance stops improving to reduce overfitting.
Why deploy inference near sensors?,edge_ai_latency,4,cross_validation,0.0,False,Cross-validation estimates model performance by training and testing across multiple data splits.
Why deploy inference near sensors?,edge_ai_latency,5,macro_f1,0.0,False,"Macro F1 averages F1 scores across classes equally, making it useful when class balance matters."
What is machine learning on microcontrollers called?,tinyml,1,tinyml,0.1682,True,"TinyML deploys small neural networks on microcontrollers with strict memory, energy, and compute limits."
What is machine learning on microcontrollers called?,tinyml,2,differential_privacy_fl,0.1322,False,Differential privacy in federated learning clips and noises client updates to reduce leakage from model gradients.
What is machine learning on microcontrollers called?,tinyml,3,fedprox,0.1175,False,FedProx adds a proximal term to stabilize federated learning when clients have non-IID data and different computation budgets.
What is machine learning on microcontrollers called?,tinyml,4,early_stopping,0.0,False,Early stopping halts training when validation performance stops improving to reduce overfitting.
What is machine learning on microcontrollers called?,tinyml,5,macro_f1,0.0,False,"Macro F1 averages F1 scores across classes equally, making it useful when class balance matters."
How do we store model weights with fewer bits?,model_quantization,1,model_quantization,0.4544,True,Model quantization stores weights and activations with fewer bits to reduce memory use and speed up inference.
How do we store model weights with fewer bits?,model_quantization,2,hallucination,0.0638,False,Language model hallucination occurs when a model gives fluent but unsupported or false information.
How do we store model weights with fewer bits?,model_quantization,3,calibration,0.0391,False,Model calibration measures whether predicted probabilities match the true frequency of correctness.
How do we store model weights with fewer bits?,model_quantization,4,secure_aggregation,0.0376,False,Secure aggregation protects individual client updates so the server can see only the aggregated model update.
How do we store model weights with fewer bits?,model_quantization,5,cross_validation,0.0375,False,Cross-validation estimates model performance by training and testing across multiple data splits.
