topic_group,queries,hit_at_1,hit_at_5,mean_rank
agentic_ai,5,1.0,1.0,1.0
compression,5,1.0,1.0,1.0
computer_vision,5,1.0,1.0,1.0
datasets,5,0.8,1.0,1.2
deployment,5,0.8,1.0,1.2
edge_ai,5,0.6,1.0,1.4
federated_learning,5,0.6,1.0,1.6
graph_learning,5,1.0,1.0,1.0
llm_evaluation,5,1.0,1.0,1.0
ml_evaluation,5,0.6,0.8,2.8
multimodal_ai,5,1.0,1.0,1.0
nlp,5,1.0,1.0,1.0
object_detection,5,1.0,1.0,1.0
optimization,5,0.8,1.0,1.2
rag,5,0.6,0.8,16.2
reinforcement_learning,5,1.0,1.0,1.0
responsible_ai,5,0.8,1.0,1.2
security,5,0.8,1.0,1.6
time_series,5,1.0,1.0,1.0
training_methods,5,1.0,1.0,1.0
