doc_id,topic_group,abstract
fedavg,federated_learning,Federated Averaging trains local client models and averages their weight updates on a server.
fedprox,federated_learning,FedProx adds a proximal term to stabilize federated learning under non-IID client data.
secure_aggregation,federated_learning,Secure aggregation hides individual client updates while allowing the server to recover the aggregate.
federated_dp,federated_learning,Differential privacy in federated learning clips and noises updates to reduce gradient leakage.
client_drift,federated_learning,Client drift happens when local training moves models in different directions because client data distributions differ.
edge_latency,edge_ai,Edge AI runs inference near sensors to reduce latency and dependence on cloud connectivity.
tinyml,edge_ai,TinyML deploys compact neural networks on microcontrollers with strict memory and energy limits.
model_compression,edge_ai,"Model compression reduces model size using pruning, quantization, distillation, or low-rank methods."
edge_privacy,edge_ai,Edge inference can improve privacy because raw sensor data may stay on the local device.
hardware_constraints,edge_ai,"Embedded AI must respect memory, compute, battery, and thermal constraints during deployment."
int8_quantization,compression,Int8 quantization stores weights or activations with 8-bit integers to reduce memory and bandwidth.
low_bit_quantization,compression,Low-bit quantization uses very few bits per parameter and may damage accuracy if too aggressive.
weight_pruning,compression,Weight pruning removes small or low-importance weights to create sparse neural networks.
structured_pruning,compression,"Structured pruning removes channels, filters, or blocks so hardware can accelerate the sparse model."
knowledge_distillation,compression,Knowledge distillation trains a smaller student model to match a larger teacher model.
cnn_filters,computer_vision,"Convolutional networks learn local filters that detect edges, textures, parts, and objects."
vision_transformer,computer_vision,Vision Transformers split images into patches and process them as token sequences with self-attention.
swin_transformer,computer_vision,Swin Transformer uses shifted local windows and hierarchy for efficient visual attention.
image_augmentation,computer_vision,"Image augmentation applies transformations such as crop, flip, color jitter, and rotation during training."
semantic_segmentation,computer_vision,Semantic segmentation assigns a class label to every pixel in an image.
object_detection,object_detection,Object detection predicts object classes and bounding boxes in an image.
yolo_detector,object_detection,YOLO performs object detection in a single forward pass and is often used for real-time detection.
faster_rcnn,object_detection,Faster R-CNN uses region proposals before classification and bounding-box refinement.
anchor_boxes,object_detection,Anchor boxes are predefined box shapes used by some detectors to predict object locations.
mean_average_precision,object_detection,Mean average precision summarizes object detection precision and recall across classes and IoU thresholds.
rag_pipeline,rag,Retrieval augmented generation retrieves evidence documents before generating an answer.
dense_retrieval,rag,Dense retrieval maps queries and documents into embedding vectors and ranks by vector similarity.
bm25_retrieval,rag,"BM25 is a sparse lexical retrieval method based on term frequency, inverse document frequency, and document length."
reranking,rag,Reranking applies a stronger model to reorder initially retrieved documents for relevance.
retrieval_hit_at_k,rag,Hit at k measures whether the correct document appears within the top k retrieved results.
hallucination,llm_evaluation,Language model hallucination occurs when a model produces fluent but unsupported or false claims.
